date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-05-26,1.0535,0.658,128.77,1.6205,1.9717,1.6010638297872342,122.23065970574277,1.2167232335698859,79.46312866399259,65.30912410610134,0.6501079913606912,0.5343104934827814,195.69908814589667
1999-05-27,1.0473,0.6551,128.05,1.6057,1.9543,1.5986872233246832,122.26678124701616,1.217101575636794,79.74715077536278,65.5221818553958,0.6522388989225882,0.5358952054444046,195.4663410166387
1999-05-28,1.0479,0.6546,126.7,1.6046,1.9557,1.6008249312557288,120.90848363393454,1.2188084257758942,78.96048859528855,64.78498747251624,0.653059952636171,0.5358183770516951,193.55331500152766
1999-05-31,1.0456,0.6524,127.18,1.6074,1.9531,1.6026977314530964,121.63351185921958,1.2150678113724027,79.12156277217868,65.11699349751677,0.6504914769192486,0.5353540525318724,194.94175352544454
1999-06-01,1.0434,0.6505,126.35,1.6187,1.9661,1.603996925441968,121.0944987540732,1.2146166676962995,78.05646506455797,64.26427953817202,0.6445913387286094,0.5306952850821424,194.23520368946964
1999-06-02,1.0382,0.6443,125.71,1.6075,1.9689,1.6113611671581562,121.08456944712,1.2248211508553657,78.20217729393468,63.847833815836246,0.6458475894245723,0.5272995073391233,195.11097314915412
1999-06-03,1.0382,0.6458,125.8,1.6082,1.98,1.6076184577268504,121.17125794644576,1.231190150478796,78.22410147991543,63.535353535353536,0.6455664718318617,0.5243434343434343,194.7971508206875
1999-06-04,1.0315,0.6412,125.45,1.5837,1.9444,1.608702432938241,121.61900145419291,1.2277577824082841,79.21323482982888,64.51861756840157,0.6513228515501673,0.5304978399506275,195.6487835308796
1999-06-07,1.0316,0.6414,124.7,1.5621,1.9209,1.6083567196757096,120.88018611865063,1.2296908008450163,79.82843607963639,64.91748659482535,0.6603930606235197,0.5370399291998542,194.41845961958217
1999-06-08,1.0385,0.6489,125.99,1.5732,1.9549,1.6004006780705808,121.31921039961483,1.2426264937706586,80.08517670989067,64.44830937643869,0.6601195016526824,0.5312292188858765,194.15934658653103
1999-06-09,1.0466,0.6523,124.48,1.5777,1.9568,1.604476467882876,118.9375119434359,1.2402864929961337,78.89966406794701,63.61406377759607,0.6633707295430056,0.534852820932134,190.8324390617814
1999-06-10,1.0474,0.6538,124.5,1.5834,1.9572,1.602018966044662,118.86576284132136,1.2360742705570293,78.6282682834407,63.61128142244022,0.6614879373500064,0.535152258328224,190.42520648516364
1999-06-11,1.0474,0.6506,124.09,1.5796,1.9419,1.6098985551798344,118.4743173572656,1.229361863762978,78.55786275006331,63.901333745300995,0.6630792605722969,0.5393686595602246,190.73163233937905
1999-06-14,1.0437,0.6473,125.42,1.5765,1.9457,1.6123899273907,120.16863083261472,1.2341896606406597,79.55597843323818,64.46009148378475,0.6620361560418649,0.536413630056021,193.75868994283948
1999-06-15,1.0392,0.6501,125.27,1.5735,1.9427,1.5985233041070603,120.54464973056197,1.2346361614235781,79.612329202415,64.48242137231688,0.6604385128693994,0.5349256189838884,192.69343177972618
1999-06-16,1.0345,0.651,124.4,1.5754,1.9501,1.5890937019969278,120.25132914451427,1.2378443569887012,78.96407261647836,63.791600430747145,0.6566586263806018,0.5304856161222501,191.09062980030723
1999-06-17,1.034,0.6481,123.97,1.569,1.9309,1.5954328035796945,119.8936170212766,1.2306564690885915,79.0121096239643,64.20322129576881,0.6590184831102613,0.5355015795742918,191.2822095355655
1999-06-18,1.0388,0.6506,124.52,1.5907,1.9515,1.5966799877036582,119.86907970735464,1.226818381844471,78.2800025146162,63.807327696643604,0.6530458288803671,0.5323084806559056,191.39256071318783
1999-06-21,1.0339,0.6506,126.3,1.5804,1.9515,1.5891484783276977,122.1588161330883,1.2348139711465451,79.916476841306,64.71944657955419,0.6542014679827892,0.5297975915962081,194.12849677221027
1999-06-22,1.0313,0.6498,125.6,1.5847,1.9519,1.5871037242228379,121.78803451953843,1.2317157821669718,79.25790370417113,64.34755878887238,0.650785637660125,0.5283569855013065,193.29024315173896
